Model,Accuracy,F1_Score,ROC_AUC
SVM (RBF),0.9217002237136466,0.9219076837261191,0.9765815513972094
Random Forest,0.8631851230425056,0.8648200594045727,0.939185574567462
Logistic Regression,0.8228467561521253,0.8224495515695067,0.8997669923214169
