feature,importance
abs_theta_F8,0.045043297178262255
variance_F8,0.03511109805292014
abs_theta_FC6,0.02757595286226699
abs_beta_F8,0.02705358717307757
variance_FC6,0.01850649109133152
variance_T8,0.017170618904743085
frontal_theta_parietal_alpha_ratio,0.01646126688634137
rel_alpha_O2,0.016336582467515137
abs_theta_T8,0.016186249154486965
abs_theta_O2,0.014911005507103406
abs_beta_F7,0.014289739466345259
rel_theta_O2,0.013562847313325488
abs_alpha_F8,0.013080979731135657
abs_alpha_O1,0.012150051312938248
abs_alpha_P7,0.01206630049578066
abs_alpha_O2,0.012025324683687869
abs_beta_AF3,0.011262096016514034
abs_alpha_F4,0.011182649369581398
abs_alpha_P8,0.010929613526482225
abs_theta_O1,0.010533048414022299
abs_theta_F7,0.010037028703012617
abs_beta_FC5,0.009991586667534236
rel_theta_F8,0.009982509015335874
variance_P8,0.00985688265937875
rel_beta_T8,0.0096197669871096
spectral_entropy_FC5,0.009382974138516678
abs_alpha_FC5,0.009380165268921319
variance_O2,0.009057190016289272
rel_theta_AF3,0.008931467723089568
abs_beta_O1,0.008808137589535114
variance_F7,0.008790726211994254
rel_beta_FC5,0.008512591576614976
abs_beta_AF4,0.008495370947986537
abs_beta_P8,0.008470469758935659
abs_beta_F3,0.008223883649323424
abs_alpha_AF3,0.008206488171401696
rel_theta_O1,0.008187724410895504
rel_alpha_F7,0.008085936593624976
variance_P7,0.008046619507994417
variance_O1,0.008025104732496603
rel_alpha_F8,0.00779724894531417
rel_alpha_O1,0.007765042082286981
spectral_entropy_AF4,0.007655838463435934
rel_alpha_FC6,0.007543335380593092
spectral_entropy_P8,0.0075034486646654965
rel_beta_AF4,0.0072403045568708154
variance_AF4,0.007233190632514605
variance_FC5,0.0072127093145934445
rel_theta_F7,0.007180594485484731
abs_theta_P8,0.00714994106777239
spectral_entropy_T8,0.0070644696935336475
variance_F3,0.007057799893908076
spectral_entropy_F7,0.006945919725917789
abs_alpha_F3,0.006942834916634426
rel_beta_AF3,0.006792470252290646
abs_alpha_AF4,0.006736717504562901
abs_beta_T7,0.006717925100501822
variance_T7,0.006631189991257676
rel_beta_FC6,0.006576425485055328
spectral_entropy_O2,0.006420049708996894
spectral_entropy_F8,0.006418751903785538
abs_alpha_F7,0.006410787542263037
abs_theta_F3,0.006397059132211983
variance_F4,0.006383610213863709
rel_beta_F8,0.006359319097293991
spectral_entropy_P7,0.006266401402494323
abs_beta_F4,0.006192239554021303
abs_beta_T8,0.006132550666759026
rel_beta_P8,0.0060573018933558695
variance_AF3,0.0059986873885506855
abs_beta_O2,0.005876987075303408
abs_theta_P7,0.0057826736217658934
spectral_entropy_AF3,0.005756057287004133
rel_beta_P7,0.005755883036370593
rel_beta_F7,0.005659360324833122
spectral_entropy_F3,0.005624482083044295
rel_beta_T7,0.005571105138380467
abs_beta_P7,0.0055399912424086584
rel_beta_F3,0.00550107756192275
rel_beta_O1,0.005326841962992307
spectral_entropy_FC6,0.005212882770399258
abs_beta_FC6,0.005207441408051979
abs_theta_FC5,0.005197819323450722
abs_alpha_FC6,0.005177186917358045
rel_alpha_F4,0.005177034654037895
abs_theta_T7,0.005161496573556841
rel_alpha_T8,0.005122537686460332
abs_theta_AF3,0.005094705250400753
abs_alpha_T7,0.0050889017848942215
spectral_entropy_T7,0.005050607483933899
rel_theta_T7,0.004939508417588398
spectral_entropy_O1,0.004787905121036693
abs_theta_AF4,0.004787472424640409
rel_alpha_AF3,0.004760518037964551
rel_alpha_FC5,0.004753767313760012
rel_theta_F3,0.004742217889190803
rel_alpha_F3,0.004732529805049976
rel_theta_AF4,0.004690875865669069
rel_alpha_T7,0.004524065815161556
rel_alpha_AF4,0.004519553362668103
skewness_AF3,0.004491036689303569
skewness_AF4,0.004436873892271593
skewness_F7,0.004423902846530885
abs_theta_F4,0.0043993024024972195
rel_alpha_P8,0.004344983738768701
spectral_entropy_F4,0.004343599252480843
rel_theta_FC5,0.004338300561686225
abs_alpha_T8,0.004210977040183283
rel_beta_F4,0.00419243127388028
skewness_F8,0.004157229160161003
rel_beta_O2,0.004085507256428655
rel_theta_T8,0.004077715511657945
rel_theta_FC6,0.004072170450597817
rel_alpha_P7,0.003955744725770796
rel_theta_P7,0.00394583377399602
rel_theta_F4,0.0038086977967555745
rel_theta_P8,0.0037221157928751846
skewness_P7,0.0037129365635203745
skewness_O2,0.0036846399118564766
skewness_FC5,0.0036185127024532635
skewness_F4,0.0036181133839052206
skewness_F3,0.0035954963646553325
skewness_T7,0.003550364081015967
skewness_P8,0.003540753545476789
skewness_O1,0.003438520792704005
skewness_T8,0.003416002302433244
skewness_FC6,0.003379162348191428
